"path","risk","enhancement_needed","quality","limitations","priority_action"
"frontend/src/services/api.js","4.4","Yes","Fair","Single large API utility handles many concerns; harder to isolate regressions","P2: Improve in upcoming cycle; add focused tests and cleanup"
"frontend/src/services/api.test.js","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/AuthCallback.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/Compare.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/Dashboard.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/Download.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/Edit.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/Error.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/ErrorBoundary.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/Footer.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/History.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/Navbar.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/Profile.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/ProtectedRoute.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/setup.js","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/Signup.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/StatusBadge.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/Templates.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/Upload.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/ValidationResults.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"frontend/src/test/VerifyOTP.test.jsx","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
